Wall time,Step,Mean Return
1770736435.549122,0,1098.09033203125
1770736436.977976,1,2901.807861328125
1770736438.459041,2,3708.08203125
1770736439.956751,3,3706.833984375
1770736441.3768132,4,3711.22900390625
1770736442.8059158,5,3608.844482421875
1770736444.239788,6,3707.142578125
1770736445.68875,7,3711.07666015625
1770736447.1460428,8,3715.322998046875
1770736448.6129751,9,3714.203125
1770736450.093539,10,3703.910888671875
1770736451.573452,11,3718.065185546875
1770736453.054768,12,3714.887939453125
1770736454.5468092,13,3719.22216796875
1770736456.044978,14,3710.68994140625
1770736457.55918,15,3715.91748046875
1770736459.082137,16,3713.60302734375
1770736460.6315808,17,3716.58935546875
1770736462.1818671,18,3716.805908203125
1770736463.741118,19,3709.80322265625
1770736465.305355,20,3720.912841796875
1770736466.879093,21,3728.12841796875
1770736468.566326,22,3172.35546875
1770736470.1675541,23,3714.47607421875
1770736471.824073,24,3718.34033203125
1770736473.4408529,25,3713.109375
1770736475.073984,26,3714.384765625
1770736476.696544,27,3743.94873046875
1770736478.35478,28,3714.582763671875
1770736479.994326,29,3711.690185546875
1770736481.667346,30,3718.748046875
1770736483.321794,31,3714.750732421875
1770736485.023735,32,3722.48876953125
1770736486.86417,33,3726.078125
1770736488.559723,34,3718.59326171875
1770736490.264412,35,3720.669189453125
1770736491.9775639,36,3724.774658203125
1770736493.830982,37,3714.67236328125
1770736495.566119,38,3717.118408203125
1770736497.346059,39,3724.53173828125
1770736499.100097,40,3711.559814453125
1770736500.864727,41,3719.56787109375
1770736502.6365771,42,3738.619873046875
1770736504.416064,43,3712.44921875
1770736506.2006552,44,3715.482421875
1770736507.9963672,45,3716.265625
1770736509.800652,46,3721.90380859375
1770736511.604115,47,3720.702392578125
1770736513.425611,48,3722.138671875
1770736515.24887,49,3711.826171875
